iter	Logloss
0	0.69299343
1	0.6927960904
2	0.6926166858
3	0.6924304702
4	0.6922573891
5	0.6920851097
6	0.6919056909
7	0.6917555739
8	0.6915958976
9	0.6914072925
10	0.6912498519
11	0.691054507
12	0.6908931287
13	0.6907046069
14	0.6905098672
15	0.6903624655
16	0.6901857659
17	0.6899983994
18	0.6898100793
19	0.6896510936
20	0.6894751462
21	0.6893206006
22	0.6891617629
23	0.688986463
24	0.6888385942
25	0.6886884003
26	0.6885049228
27	0.688322352
28	0.6881338931
29	0.6879730202
30	0.6878029612
31	0.6876297178
32	0.6874811964
33	0.6873009052
34	0.6871121426
35	0.6869253227
36	0.6867836396
37	0.6866247593
38	0.6864770915
39	0.6862933743
40	0.6861481974
41	0.6859737744
42	0.685828195
43	0.6856550416
44	0.685467179
45	0.6852873534
46	0.6851431303
47	0.6849606566
48	0.6847855624
49	0.6846420271
50	0.6844637823
51	0.6842929324
52	0.6841204331
53	0.6839523231
54	0.6837732314
55	0.6836065207
56	0.6834356153
57	0.683278575
58	0.6831063092
59	0.6829196141
60	0.6827313637
61	0.6825635524
62	0.6823884984
63	0.682248567
64	0.6820776615
65	0.6819031622
66	0.6817632357
