ID,Reached.on.Time_Y.N
7000,1
7001,1
7002,0
7003,1
7004,0
7005,1
7006,0
7007,1
7008,1
7009,1
7010,0
7011,1
7012,1
7013,1
7014,1
7015,0
7016,1
7017,0
7018,0
7019,0
7020,1
7021,0
7022,1
7023,0
7024,1
7025,1
7026,0
7027,1
7028,0
7029,1
7030,1
7031,1
7032,0
7033,1
7034,0
7035,0
7036,0
7037,1
7038,1
7039,1
7040,0
7041,1
7042,1
7043,0
7044,0
7045,1
7046,1
7047,1
7048,1
7049,1
7050,1
7051,1
7052,1
7053,1
7054,1
7055,1
7056,0
7057,0
7058,0
7059,0
7060,1
7061,1
7062,1
7063,1
7064,0
7065,0
7066,1
7067,0
7068,1
7069,1
7070,0
7071,1
7072,1
7073,1
7074,0
7075,1
7076,1
7077,1
7078,0
7079,1
7080,0
7081,1
7082,1
7083,0
7084,1
7085,1
7086,0
7087,1
7088,0
7089,1
7090,0
7091,1
7092,0
7093,1
7094,0
7095,1
7096,1
7097,0
7098,0
7099,0
7100,0
7101,1
7102,0
7103,1
7104,1
7105,1
7106,1
7107,1
7108,1
7109,1
7110,1
7111,0
7112,0
7113,1
7114,0
7115,1
7116,1
7117,1
7118,0
7119,1
7120,1
7121,0
7122,1
7123,0
7124,1
7125,0
7126,0
7127,0
7128,1
7129,1
7130,0
7131,0
7132,1
7133,1
7134,1
7135,0
7136,1
7137,0
7138,0
7139,0
7140,1
7141,0
7142,1
7143,0
7144,0
7145,1
7146,1
7147,1
7148,1
7149,1
7150,0
7151,0
7152,1
7153,1
7154,0
7155,1
7156,0
7157,0
7158,1
7159,0
7160,1
7161,1
7162,0
7163,0
7164,1
7165,1
7166,1
7167,1
7168,1
7169,1
7170,1
7171,0
7172,1
7173,0
7174,1
7175,0
7176,0
7177,0
7178,1
7179,0
7180,0
7181,0
7182,1
7183,1
7184,1
7185,0
7186,0
7187,0
7188,0
7189,1
7190,0
7191,1
7192,1
7193,1
7194,1
7195,0
7196,0
7197,1
7198,1
7199,1
7200,0
7201,0
7202,0
7203,0
7204,1
7205,0
7206,0
7207,0
7208,0
7209,1
7210,0
7211,0
7212,1
7213,1
7214,0
7215,1
7216,0
7217,1
7218,1
7219,1
7220,1
7221,0
7222,1
7223,0
7224,0
7225,1
7226,0
7227,0
7228,1
7229,0
7230,1
7231,1
7232,1
7233,1
7234,1
7235,1
7236,0
7237,0
7238,1
7239,1
7240,1
7241,1
7242,0
7243,0
7244,1
7245,1
7246,1
7247,0
7248,0
7249,1
7250,0
7251,0
7252,1
7253,1
7254,1
7255,1
7256,1
7257,1
7258,1
7259,0
7260,1
7261,0
7262,0
7263,0
7264,0
7265,1
7266,0
7267,1
7268,0
7269,0
7270,1
7271,0
7272,1
7273,1
7274,1
7275,1
7276,0
7277,1
7278,1
7279,1
7280,0
7281,0
7282,1
7283,1
7284,1
7285,1
7286,1
7287,0
7288,1
7289,1
7290,0
7291,1
7292,1
7293,1
7294,1
7295,1
7296,1
7297,0
7298,1
7299,1
7300,0
7301,1
7302,0
7303,1
7304,0
7305,0
7306,1
7307,1
7308,1
7309,1
7310,1
7311,1
7312,1
7313,0
7314,1
7315,1
7316,0
7317,1
7318,1
7319,1
7320,1
7321,1
7322,0
7323,1
7324,1
7325,1
7326,0
7327,0
7328,1
7329,0
7330,1
7331,0
7332,1
7333,1
7334,0
7335,1
7336,1
7337,0
7338,0
7339,1
7340,1
7341,1
7342,1
7343,0
7344,0
7345,1
7346,1
7347,0
7348,0
7349,0
7350,1
7351,0
7352,1
7353,1
7354,1
7355,1
7356,1
7357,1
7358,1
7359,1
7360,0
7361,0
7362,0
7363,1
7364,0
7365,1
7366,0
7367,1
7368,0
7369,0
7370,1
7371,1
7372,1
7373,0
7374,1
7375,1
7376,0
7377,1
7378,0
7379,0
