menu,price
송정식 떡갈비 도시락,"6,900원"
카츠카츠 도시락,"4,800원"
아보카도 훈제 닭가슴살 명란 비빔밥,"6,500원"
아보카도 소불고기 명란 비빔밥,"6,500원"
새후마요,"4,500원"
숯불직화구이 두부강된장,"8,200원"
해바라기,"10,000원"
매화,"10,500원"
진달래,"7,800원"
개나리,"8,500원"
돈까스도련님고기고기,"6,300원"
탕수육도련님고기고기,"6,000원"
새치 고기고기,"7,000원"
돈치 고기고기,"6,000원"
숯불직화구이,"6,600원"
소불고기,"5,500원"
메가치킨제육,"7,500원"
칠리 찹쌀탕수육도련님,"4,400원"
동백,"6,000원"
치킨제육,"4,900원"
돈까스도련님,"4,800원"
제육볶음,"4,500원"
돈치스팸 도시락,"5,000원"
제육 김치찌개 정식,"8,600원"
제육 김치 부대찌개 정식,"9,000원"
돈치스팸 김치 부대찌개 정식,"9,000원"
빅치킨마요 김치 부대찌개 정식,"8,000원"
치킨마요 김치 부대찌개 정식,"7,400원"
빅치킨마요 김치찌개 정식,"7,500원"
치킨마요 김치찌개 정식,"6,900원"
메가스팸마요,"5,800원"
스팸마요,"3,900원"
메가치킨마요,"6,000원"
왕치킨마요,"5,000원"
빅치킨마요,"4,300원"
치킨마요,"3,700원"
참치마요,"3,500원"
돈치마요,"4,000원"
돈까스 카레,"4,700원"
스팸 김치볶음밥,"4,700원"
김치볶음밥,"3,900원"
스팸철판볶음밥,"4,700원"
소불고기 철판볶음밥,"4,900원"
나시고랭,"6,200원"
묵은지 김치찌개,"4,900원"
김치 부대찌개,"6,000원"
숯불직화구이 덮밥,"6,000원"
마파두부 덮밥,"5,000원"
왕카레돈까스덮밥,"6,000원"
새우돈까스 덮밥,"4,200원"
돈까스 덮밥,"4,100원"
소불고기 감초고추장 비빔밥,"5,400원"
시골제육 두부강된장 비빔밥,"5,200원"
참치야채 감초고추장,"3,500원"
튼튼도시락,"5,000원"
토네이도 소세지 파스타,"5,800원"
트리플 치즈 파스타,"5,900원"
토마토 미트 파스타,"4,800원"
반찬 묵은지김치찌개,"4,400원"
반찬 카레,"2,900원"
반찬 순살 고등어 간장구이,"3,900원"
반찬 김치 부대찌개,"4,900원"
반찬 치킨,"3,800원"
반찬 고기고기,"3,600원"
반찬 돈까스 도련님,"4,100원"
반찬 제육볶음,"3,500원"
반찬 토네이도 소세지,"2,800원"
반찬 반달돈까스,"2,900원"
치즈버터 해시 포테이토 스틱,"2,200원"
허니버터 해시 포테이토 스틱,"2,200원"
해시 포테이토 스틱,"2,000원"
뉴 감자고로케,"2,700원"
미니 찹쌀핫도그,"2,500원"
미니 찹쌀탕수육,"2,200원"
케이준후라이,"1,900원"
통현미 닭강정(소),"3,500원"
통현미 닭강정(중),"8,500원"
후라이드 순살(중),"7,500원"
후라이드 순살(소)_양념치킨소스,"4,000원"
후라이드 순살(소)_케이준소스,"4,000원"
오리지널 닭강정(중),"8,500원"
오리지널 닭강정(소),"3,500원"
반찬 무생채,400원
3종 미니반찬B,"1,300원"
3종 미니반찬A,"1,300원"
오징어젓갈,600원
한솥 두부강된장소스,"1,800원"
한솥 감초볶음고추장소스,500원
볶음김치,500원
김치,400원
무말랭이 무침,500원
한솥밥,"1,000원"
현미밥,"1,700원"
리얼 티라미수 찰떡,"1,700원"
리얼꿀 미니호떡,"2,200원"
